## 1. 초등 6학년 추천도서 (수학, 사회, 과학)

### 수학
의병장 윤희순 (정종숙 / 한솔수북, 2019)
길 잃은 생각 의사를 위한 생각 속 응급구조법 (권태윤 / 고래가숨쉬는도서관, 2021)
거꾸로 환경시계 탐구생활 (박숙현 / 파란자전거, 2018)
열두 달 성평등 교실 (아웃박스 / 파란자전거, 2021)
씨스틴 (권윤덕 / 평화를품은책, 2019)
어린이를 위한 가상현실과 메타버스 이야기 (천윤정 / 팜파스, 2021)
어린이를 위한 미래과학, 빅데이터 이야기 (천윤정 / 팜파스, 2020)
우리나라 애국가 이야기 (문성모 / 가문비어린이, 2021)
미디어 리터러시 쫌 아는 10대 (금준경 / 풀빛, 2020)

### 6학년 수학
그래프를 만든 괴짜 (헬레인 베커 / 담푸스, 2019)
오일러, 오즈의 입체도형 마법사를 찾아라 (이안 / 뭉치, 2020)
오일조밀 세상을 만든 수학 (김용준 / 봄볕, 2019)
매쓰 왕자와 지구의 비밀 (김주창 / 자음과모음, 2019)
비례배분으로 보물섬을 발견한 해적 실버 (박신식 / 뭉치, 2019)
비례로 바람 왕국의 다섯 열쇠를 찾아라! (황덕창 / 자음과모음, 2020)
원주율로 떠나는 오디세우스의 수학 모험 (노영란 / 뭉치, 2020)

## 9. 초등 5~6학년 사회 추천도서
10대를 위한 세계 시민 학교 (남지란, 정일웅 / 이케이북, 2024)
강에서 지독한 냄새가 나요 (콜린 패프 / 뜨인돌어린이, 2024)
꼭 알아야 할 세계사 명장면 (편집 위원회 / 비룡소, 2024)
돈도 공부가 필요해! (안재욱 / 머핀북, 2024)
동물의 행복이 너무 멀어 (김지숙 / 다정한시민, 2024)
로봇 시대 미래 직업 이야기 (김은식 / 나무야, 2024)
멈춰, 그건 괴롭힘이야! (이자벨 필리오자 외 / 다림, 2024)
변호사 어벤저스 1: 명예 훼손죄, 진실을 말해 줘! (고희정 / 가나출판사, 2024)
사람이 사는 미술관 (박민경 / 그래도봄, 2025)
선생님, 난민은 왜 생기나요? (김미조 / 철수와영희, 2024)
세계는 왜 끝없이 싸울까? (오승현 / 개암나무, 2025)
세상을 둘로 나눈 벽이 있대! (윤주은 / 영수책방, 2024)
십 대의 똑똑한 미디어 생활을 위한 20가지 수업 (윤선희 / 청어람미디어, 2024)
잠실역은 왜 잠실역이야? (안미연 / 현암주니어, 2025)
전 세계의 시장 (마리야 바하레바 / 주니어RHK, 2024)
차별 없는 세상이 너무 멀어 (오찬호 / 다정한시민, 2024)

## 10. 초등 5~6학년 과학 추천도서
탄소가 기후 위기랑 무슨 상관이야 (정지윤 / 파란의자, 2023)
편의점을 털어라!: 인체편 (고은지 / 북멘토, 2023)
행복한 동물 (공주영 / 분홍고래, 2023)
멸망한 세계에서 우리가 나비를 쫓는 이유 (조나단 케이스 / 원더박스, 2023)
바닷물로 줄다리기를 한다고요? (장순근 / 지성사, 2023)
46억 살 신비한 지구 탐험 (정완상 / 성림주니어북, 2024)
나는 왜 이렇게 생겼지? (카타리나 폰 데어 가텐 / 위즈덤하우스, 2024)
열두 살 궁그미를 위한 지구과학 (애나 클레이본 / 니케주니어, 2024)
공기를 느껴 봐, 태양을 느껴 봐 (이자벨 미뇨스 마르팅스 / 원더박스, 2024)
우리는 모두 생물이니까 (줄리 라르동 / 다산어린이, 2024)
복제인간은 가능할까? (박승준 / 봄마중, 2024)
페니실린에서 항암제까지 (박승준 / 봄마중, 2024)
우리, 앞으로 뭐 먹고 살지? (줄리 라르동 / 다산어린이, 2024)
딱 한마디 의학사: 질병에 맞선 의학자의 말 (이현희 / 천개의바람, 2024)
어린이 의학도를 위한 놀라운 의학사 (브라이오니 허드슨 / 너머학교, 2024)
어린이를 위한 모든 순간의 물리학 (마이크 바필드 / 원더박스, 2024)

## 11. 초등 1~2학년 (국어, 수학, 안전한 생활, 통합교과) — 추가 묶음

### 1학년 국어
딴 생각 하지 말고 귀 기울여 들어요 (서보현 / 상상스쿨)
어서 오세요! ㄱㄴㄷ 뷔페 (최경식 / 위즈덤하우스)
말놀이 동시집 (최승호 / 비룡소)
괜찮아, 우리 모두 처음이야! (이주희 / 개암나무)
인사는 우리를 즐겁게 해요 (소피 비어 / 상수리)
또박또박 반갑게 인사해요 (안미연 / 상상스쿨)
꼬마 시인의 하루 (장혜진 / 북극곰)
또박또박 말할래 (백나영 / 리틀씨앤톡)

### 1학년 수학
한 마리 여우 (케이트 리드 / 북극곰)
길어도 너무 긴 (강정연 / 길벗어린이)
백만 개의 점이 만든 기적 (스벤 볼커 / 시원주니어)
개미핥기를 구하는 딱 1가지 방법 (맥스 잭슨 / 우리교육)
셈셈이+나 (요안나 비에야크 / 북극곰)
셜록 본즈와 함께하는 덧셈 뺄셈 수학 추리 모험 (조니 막스 / 사파리)
크기 비교와 측정 (리잔 플랫 / 걸음동무)

### 2학년 국어
고양이 걸 씨 (장영복 / 국민서관)
그래 맞다 (권오봉 / 까미)
고양이 수염 동시집 (김연아 / 창조와지식)
발표력 키우기 (운노 미호 / 루덴스미디어)
미안하다고 말하기는 너무 힘들어! (박선희 / 팜파스)
학교가 즐거울 수밖에 없는 12가지 이유 (노은주 / 단비어린이)
맑음이와 여우 할머니 (윤여림 / 천개의바람)
마음이 들리는 마법 이어폰 (최명서 / 크레용하우스)
엄마 말고, 이모가 해주는 이야기 (소복이 / 고래가그랬어)
뚜이, 뚜우 (찰리 팔리 / 바둑이하우스)
걱정 삼킨 학교 (김지연 / 꿈터)
나한테 말해봐! (무라카미 시이코 / 한림출판사)
내 말 좀 들어 주세요, 제발 (하인즈 야니쉬 / 상상스쿨)
초조함 공장 (흉흉 / 씨드북)
작은 우리 (다니엘라 쿨켈 / 씨드북)

### 2학년 수학
그림으로 배우는 초등 수학 개념: 초 1~2학년 (정가영 / 경향BP)
리안의 수학 모험 11: 길이 (위두커뮤니케이션즈편집부 / 위두커뮤니케이션즈)
아기 염소는 경우의 수로 늑대를 이겼어 (고자현 / 뭉치)
브레인 부스터: 곱셈 (페니 원즈 / 블루무스어린이)
떡장수 할머니와 호랑이는 구구단을 몰라 (이안 / 뭉치)

### 1학년 안전/통합
